flat_tax,poverty_rate,poverty_gap,gini,percent_better_off,change_poverty_rate,change_poverty_gap,change_gini,change_revenue,ubi,poverty_gap_billions
0,30.048149762505716,593537528078.4438,0.591,30.70892895975171,156.5,275.7,32.9,-2081286387763.1057,-6398.67809024952,593.5
1,29.403673826070904,566374059101.4061,0.584,30.42140815612333,151.0,258.5,31.5,-1963463114549.4875,-6036.443848356582,566.4
2,28.80652948204413,539688578102.38025,0.578,30.17509723330633,145.9,241.6,30.1,-1845639841335.8696,-5674.2096064636435,539.7
3,28.234029703489007,513471009415.5067,0.572,29.916683780265473,141.0,225.0,28.7,-1727816568122.2515,-5311.975364570705,513.5
4,27.651870298887832,487724674995.1271,0.565,29.581846202770418,136.1,208.7,27.2,-1609993294908.6333,-4949.741122677766,487.7
5,27.021381835731482,462510801059.19806,0.559,29.299562483787223,130.7,192.7,25.8,-1492170021695.0151,-4587.506880784827,462.5
6,26.385043805642393,437823236398.73145,0.553,28.97555673429783,125.3,177.1,24.4,-1374346748481.397,-4225.272638891888,437.8
7,25.717268796546506,413670360059.836,0.547,28.55931825598055,119.6,161.8,23.0,-1256523475267.779,-3863.0383969989502,413.7
8,25.04689746525407,390059861894.1565,0.54,28.14130067957578,113.8,146.9,21.6,-1138700202054.1611,-3500.804155106012,390.1
9,24.266861377290784,367096406954.6524,0.534,27.567591637335752,107.2,132.4,20.1,-1020876928840.5428,-3138.5699132130726,367.1
10,23.447769016029525,344767138563.80225,0.528,27.153337942764004,100.2,118.2,18.7,-903053655626.9248,-2776.335671320134,344.8
11,22.54806620015154,323146817433.17456,0.521,26.599591996716974,92.5,104.5,17.3,-785230382413.3064,-2414.101429427195,323.1
12,21.66487548198863,302372909290.2143,0.515,26.02600461716093,85.0,91.4,15.9,-667407109199.6885,-2051.8671875342566,302.4
13,20.76483465272298,282374563515.94635,0.509,25.228279043033485,77.3,78.7,14.5,-549583835986.0703,-1689.6329456413177,282.4
14,19.904312309195525,263160925167.60004,0.503,24.615134830920507,69.9,66.6,13.1,-431760562772.4524,-1327.3987037483796,263.2
15,19.04796631944748,244741993382.8356,0.496,24.080976543175947,62.6,54.9,11.7,-313937289558.8342,-965.1644618554408,244.7
16,17.981461882474022,227190388941.81052,0.49,23.491074247810722,53.5,43.8,10.3,-196114016345.2163,-602.9302199625026,227.2
17,17.025640472689815,210581781179.97418,0.484,22.72764558505455,45.4,33.3,8.9,-78290743131.5979,-240.69597806956307,210.6
18,16.04600033904743,194877114956.9312,0.478,30.48259683709228,37.0,23.3,7.4,39532530082.02002,121.53826382337503,194.9
