percentile,variable,value
1,White,-0.35854475295281096
2,White,0.07741439243503216
3,White,0.3831508190092597
4,White,0.8898337566800265
5,White,1.5212245375569386
6,White,2.359128823136614
7,White,3.5812643081312165
8,White,5.922098211095269
9,White,11.199580886078746
10,White,74.46479513554725
1,Black,-3.9683193319488566
2,Black,-0.24669371026979836
3,Black,0.03328466007823156
4,Black,0.3103627100099258
5,Black,0.9393993203838883
6,Black,2.623860524781049
7,Black,4.848065670306337
8,Black,8.461649946210198
9,Black,16.482864963482083
10,Black,70.57307666061836
1,Other,-0.7102538732541236
2,Other,0.03692142013319739
3,Other,0.13583502486560742
4,Other,0.520379202095737
5,Other,1.350823742142299
6,Other,2.5287951097723234
7,Other,3.9066517778602665
8,Other,6.364958624121996
9,Other,13.403980938079957
10,Other,73.00060605135631
1,Hispanic,-2.084596089184023
2,Hispanic,0.02617005407477141
3,Hispanic,0.2472610498896406
4,Hispanic,0.5288527887333887
5,Hispanic,1.1894137932293363
6,Hispanic,2.775056187565914
7,Hispanic,4.826422024199367
8,Hispanic,8.570394162137722
9,Hispanic,14.128639537490653
10,Hispanic,69.8006102390936
