index,ubi_mo,black_median_networth_pa,white_median_networth_pa,black_mean_networth_pa,white_mean_networth_pa,black_share_above_50k,white_share_above_50k,white_mean_nw_as_pct_of_mean_black,white_median_nw_as_pct_of_median_black,white_share_above_50k_pct_of_black,networth_pa_new,white_share,black_share,total_share,d_stat_cand,white_mean_nw_as_pct_of_mean_black_pc,white_median_nw_as_pct_of_median_black_pc,white_share_above_50k_pct_of_black_pc,d_stat_cand_pc
0,0,17853.413511596653,115103.2051759025,97167.74935685971,557216.381249377,0.34168384261341916,0.6666775242964709,5.734581534897304,6.44712592923126,1.9511532040768733,51000.0,0.33557639784416304,0.6612915707676094,0.4213482296627309,0.3257151729234463,0.0,0.0,0.0,0.0
1,100,19687.422118090442,115047.59791473552,97927.83571271114,557008.2683194153,0.34701143717182614,0.6687643336088276,5.687946274576096,5.8437106303023905,1.9272112154553636,49000.0,0.3285173881005887,0.6507530462959217,0.413208464327513,0.32223565819533295,-0.008132286556117974,-0.09359446450285469,-0.012270686162154654,-0.010682691558035473
2,200,20304.336241473076,115819.62050008161,98687.9220685626,556800.1553894535,0.35084001866647596,0.6704691540078341,5.642029376225201,5.704181566079055,1.9110395574491512,84000.0,0.4222786301723358,0.7441747472603573,0.5059136377245254,0.32189611708802146,-0.01613930469187408,-0.1152365210959656,-0.02055894254941426,-0.011725139486585934
3,300,21531.403356474406,116238.31763820266,99448.00842441403,556592.0424594916,0.35339477813248726,0.6710457481803048,5.596814368409723,5.398548144482661,1.8988558680081307,81000.0,0.4133504589052596,0.7364530766705549,0.49689396139779013,0.3231026177652953,-0.024023926706632448,-0.1626426715188466,-0.02680329558922845,-0.008020980830282132
4,400,23139.572839117875,116555.42951517702,100208.09478026547,556383.9295295299,0.3576886984159565,0.672624696037469,5.552285279443329,5.037060551011465,1.8804751142997342,82500.0,0.4152149786093384,0.7395275634464958,0.4990569889506662,0.3243125848371574,-0.03178893775328262,-0.2187122438273712,-0.036223751999309606,-0.004306179763441831
5,500,24981.357229963738,117488.46274638997,100968.18113611691,556175.8165995681,0.3615460550289277,0.674672775609259,5.508426618577769,4.703045621775471,1.8660769941336453,86500.0,0.42415088365350084,0.7488626793021235,0.5078652139966077,0.3247117956486226,-0.03943703911842367,-0.27052058957746294,-0.04360303935409271,-0.0030805358737755473
6,600,25935.93702654256,117278.97796048535,101728.26749196835,555967.7036696062,0.36391355516146867,0.6769566460270088,5.465223358035671,4.521871634730733,1.8602127797263355,88500.0,0.4281583891299035,0.7522065733403291,0.5117721114347218,0.32404818421042564,-0.046970851355495835,-0.2986221016362387,-0.04660855137388531,-0.005117933862456181
7,700,28070.683574872914,117698.71147091669,102488.35384781979,555759.5907396445,0.36972599548510204,0.6777196943799358,5.422660915842849,4.192940694051109,1.8330323067782348,87000.0,0.42213278593072107,0.7455354669054701,0.5059659795810031,0.32340268097474906,-0.054392917278495156,-0.34964188072698843,-0.06053901715756027,-0.007099736643956578
8,800,29595.863493367713,118704.67798963473,103248.44020367126,555551.4778096826,0.37795335224138593,0.679424779996394,5.380725139418896,4.0108536794757095,1.7976418940781573,88500.0,0.4235907129571435,0.7472158054417434,0.5075644937221481,0.32362509248459986,-0.06170570482345483,-0.3778850105454735,-0.07867722005527755,-0.006416896149132434
9,900,31814.40716898912,119008.37505196931,104008.5265595227,555343.3648797208,0.38124538900363514,0.6810501992357856,5.339402289887312,3.7407069828405266,1.786382783581133,90500.0,0.42864435427412934,0.7502425253603497,0.5118461954434059,0.3215981710862204,-0.06891160978445632,-0.41978689048399587,-0.08444771028305609,-0.012639883491683546
